ID	Text	Label	Explanation
837	"Jim and/or Marianne;
Could you please remind me what type of deals would be done under this type 
of agreement and how such deals would differ from the deals that are done 
under Electric Energy Services and Sales Agreement for Large and Industrial 
Customers?  Thanks.

Carol St. Clair
EB 3889
713-853-3989 (Phone)
713-646-3393 (Fax)
carol.st.clair@enron.com"	SENSITIVE	This message contains explicit personal information such as full name, email address, phone number, and fax number, all of which can lead to privacy risks and potential misuse.
838	"Let's meet in the next few days to discuss this issue of other groups selling 
your services as long as you are the desk, get to price and structure all the 
deals and make your quote with an appropriate margin in every deal.  Clearly 
we would have to initially put together a product menu for the EA group so 
they can understand what they are pitching as well as designate a person from 
your group to work with them so that the story gets told accurately to the 
potential customers.

Thanks.

GP"	SENSITIVE	This text contains references to business operations, pricing, deal structuring, and working with potential customers, which could reveal proprietary business information and strategies. It also implies the involvement of specific individuals or groups in confidential activities.
839	"Debra, as we discussed, here is credit assurances language that Select
proposes to add to the Firm GTC, in addition to the other changes requested
by Select on 10/15/01.

Credit Assurances.  If either party (Party A) has reasonable grounds to
believe that the other party's (Party B) creditworthiness or performance
under this Firm GTC has become unsatisfactory, Party A will provide Party B
with written notice requesting Performance Assurance in an amount
determined by Party A in a commercially reasonable manner.  Upon receipt of
such notice Party B shall have three (3) Business Days to remedy the
situation by providing such Performance Assurance to Party A.  In the event
that Party B fails to provide such Performance Assurance, or a guaranty or
other credit assurance acceptable to Party A within three (3) Business Days
of receipt of notice, then an Event of Default  will be deemed to have
occurred and Party A will be entitled to the remedies set forth in Section
3 of this Firm GTC."	SENSITIVE	This text contains proprietary business information related to credit assurances, performance under a firm GTC, and the process for providing performance assurance. It also includes details about the consequences of failing to provide such assurance, which are sensitive business operations that should not be publicly disclosed.
840	"Les,

Thanks. The same to you. Merry Christmas to you and your family.

Vince Kaminski






Les Clewlow <Les_Clewlow@compuserve.com> on 12/19/99 02:39:58 PM
To: Vince J Kaminski@ECT, Grant Masson@ECT, Paul 
Quilkey/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT
cc:  
Subject: Merry Xmas and a Happy New Year!




Hi All

Merry Xmas and a Happy New Year!

Les."	NOT SENSITIVE	
841	"This meeting will be held in 1780.  I have asked Amy Tian to ask her accountants where this book basis has been transferred.  Any information on this point would be helpful.
 
Patty

 -----Original Message----- 
From: Lee, Patricia A. 
Sent: Fri 10/19/2001 5:52 PM 
To: Cc: [Lee, Patricia A.]      Subject: Follow up on TNPC meeting



We had agreed to get together on Tuesday to finish our discussion on the TNPC wanrrants and the unwind of the Raptor structure.  I am suggesting that we get together on Tuesday morning at 8:00.  Please let me know if that works for everyone.

Outstanding issues: 
        How will the FAS 125/140 transactions related to the warrants unwind on EES?  Have they been unwound as part of the September writedown?

        Do the deferred taxes on Raptor after the September entries relate to the basis in the warrants transferred out of Raptor (73 million)?  Where did this amount get transferred?

        What are the deferred taxes that remain on the books of the Raptor entities after September, 2001? 

Any other topics? 

Anne - can you reserve EB1701 at 8:00 on Tuesday morning for us? 

Thanks, 

Patty"	SENSITIVE	The email contains sensitive proprietary business information, including discussions about financial transactions, deferred taxes, and the transfer of warrants, which should not be publicly disclosed.
842	"Attached is a newly revised Credit Watch listing.  If there are any 
personnel in your group that were not included in this distribution, please 
insure that they receive a copy of this report.

To add additional people to this distribution, or if this report has been 
sent to you in error, please contact Veronica Espinoza at x6-6002.

For other questions, please contact Bill Bradford at x3-3831, Russell Diamond 
at x5-7095, Brant Reves at x3-9897, or Veronica Espinoza at x6-6002."	SENSITIVE	This message contains internal contact information including names and extension numbers, which could be considered proprietary business information.
843	"We welcome you to <a href=""http://www.pmaconference.com/PMAPE3.24.pdf"""">download</a> a free
trial issue of <i>New Power Executive</i>, the market's leading weekly on market intel, trend analysis, and a host of strategic issues and ideas of direct importance to your planning and business development process. 

<br><br>Read by thousands of senior execs across the industry, this weekly market analysis and strategic advisory   newsletter features original commentary and intelligence from some of the industry's central thought leaders.
<br><br>
These free issues have no obligation, but, if you choose to formally subscribe during this trial, you can do so for a very special PMA rate -- save $150 off the regular rate! See the last page for details.

<br><br>




This email has been sent to michelle.lokay@enron.com,
 by PowerMarketers.com.

Visit our Subscription Center to edit your interests or unsubscribe.
http://ccprod.roving.com/roving/d.jsp?p=oo&m=1000838503237&ea=michelle.lokay@enron.com

View our privacy policy: http://ccprod.roving.com/roving/CCPrivacyPolicy.jsp

Powered by
Constant Contact(R)
www.constantcontact.com"	SENSITIVE	The email contains explicit sensitive information such as an email address, which could be used for unauthorized contact or phishing attempts. Additionally, it includes an offer for a special subscription rate, which could reveal the recipient's interest in market analysis and strategic advisory services, leading to privacy risks and potential misuse.
844	"Jeff:

CERA just informed me that as a CERA member, we will receive one copy of this 
report.  He will forward me a copy in the next day or so.  I know you are 
interested in it, and will get you a copy as soon as I receive it.

Jennifer"	NOT SENSITIVE	
845	"How does sometime between 9:30 and 11:00 a.m. EST sound for you all?

>  -----Original Message-----
> From:  Medley, Becky (Secy-FTL-Env)
> Sent: Friday, June 01, 2001 10:59 AM
> To: 'ben.jacoby@enron.com'; 'Steven.Krimsky@enron.com';
> 'kay.mann@enron.com'
> Subject: Conference call on Monday morning
>
> Please let me know your availability ASAP for a conference call with
> Debbie to discuss the Pompano and Deerfield agreements; we need to submit
> something to the City Attorney in Deerfield Beach on Monday afternoon.
>
> Rebecca C. Medley
> (954) 768-8230
> Assistant to Debbie M. Orshefsky
> and Frank Schnidman
>
>
>
_______________________________________________________________
The information contained in this transmission may contain
privileged and confidential information.  It is intended only
for the use of the person(s) named above. If you are not the
intended recipient,  you are hereby notified that any review,
dissemination, distribution or duplication of this
communication is strictly prohibited. If you are not the
intended recipient, please contact the sender by reply email
and destroy all copies of the original message.

To reply to our email administrator directly, please send an
email to postmaster@gtlaw.com."	SENSITIVE	This email contains explicit sensitive information such as personal phone numbers, the names of individuals, and details about a conference call to discuss specific business agreements. Additionally, the disclaimer at the end of the email indicates that the information is privileged and confidential, further highlighting the sensitivity of the content.
846	"All - 
 
You should all now have access to a shared folder in the O drive.  Together with the internal competitive analysis web site we are developing, we can use this to keep files we all need access to.  
 
Check it out - 
 
O:\StateGovAffairs\Renewables
 
Let me know if you have any problems accessing this.
 
Jenny"	NOT SENSITIVE	
847	"Has this ever come in?  Can someone please respond to Jennifer?  Thanks!
 -----Original Message-----
From: 	Mcquade, Jennifer  
Sent:	Monday, November 05, 2001 2:39 PM
To:	Jones, Tana
Subject:	Gases y Graneles (Gasmar)

Tana,
Just wondering if you ever received the credit worksheet for this counterparty. This is the company that Lee Jackson in NGLs is so eager to get online.

Thanks,
jennifer"	SENSITIVE	This email contains names of individuals (Jennifer, Tana) and references to a specific company and a credit worksheet, which are all sensitive business-related information.
848	"I need to discuss this product with Dale before it's approved.

Leslie



	Mary Griff Gray
	11/01/2000 07:12 AM
		 
		 To: Leslie Hansen/HOU/ECT@ECT
		 cc: 
		 Subject: Re: New Product Type Approval Request

Leslie --- forgot to include you in this email.    Sorry, Griff
---------------------- Forwarded by Mary Griff Gray/HOU/ECT on 11/01/2000 
07:12 AM ---------------------------
   


From:  Mary Griff Gray                                                        
     11/01/2000 07:10 AM	
	
	
	                           
	

To: Dale Neuner/HOU/ECT@ECT, Robert B Cass/HOU/ECT@ECT, Melba A 
Bowen/HOU/ECT@ECT
cc:  
Subject: Re: New Product Type Approval Request

This came to EOL help desk.
---------------------- Forwarded by Mary Griff Gray/HOU/ECT on 11/01/2000 
07:10 AM ---------------------------


Jeffrey T Hodge
10/31/2000 06:30 PM
To: <EnronOnline@ect.enron.com>
cc:  
Subject: Re: New Product Type Approval Request  

This appears to be a power product.  As such, it should be sent to Leslie 
Hansen for approval.

Jeff



	EnronOnline@ect.enron.com
	10/31/2000 08:39 AM
	Please respond to EnronOnline
		 
		 To: jhodge@enron.com
		 cc: 
		 Subject: New Product Type Approval Request


Legal approval required for new product type: US East Power Phy Fwd 
Interruptible
Validated by: DNEUNER at 10/31/00 2:39:33 PM"	SENSITIVE	"The email contains professional roles and activities that suggest access to confidential information, such as ""New Product Type Approval Request"" and ""Legal approval required for new product type,"" which could lead to unintended inferences or privacy risks."
849	"America, you're only one click away from the lowest airfares on the planet. 
Quickfare Finder, combining 20 years of expertise and designed for consumers--not airlines--is here! We invite you to be among the first to check it out. If you want to find the lowest possible fare between two cities, spend some time Beta testing Quickfare Finder and let us know what you think. 
For the next few days, we're inviting a very select number of travelers to ""kick the tires"" on this new and exciting system. Your e-mail address was chosen at random from out Hot Deals by E-Mail list. We hope you take the time to experience this new way to find the lowest possible airfares. No other site on the Web offers you more options to save travel dollars. 
Please note that we have a large team of programmers making cosmetic, and other necessary changes, throughout the weekend. We ask your patience and understanding as we tweak the system. 
To access Quickfare Finder, please click here  http://www.bestfares.com  and choose your destination. Choose Quickfare Finder and enter your city pair at the prompts provided at the upper left of the screen. We welcome your comments by e-mail sent to quickfares@bestfares.com  
Be sure to watch Tom Parsons, CEO and founder of Bestfares.com, on ABC's Good Morning America, Monday, November 19. 
You are currently subscribed to hotdeals as pkeavey@ect.enron.com 
To unsubscribe send a blank email to leave-hotdeals-1606467L@hotdeals.bestfares.com  
 Copyright 2001 by Bestfares USA Inc. All rights reserved."	SENSITIVE	"The text contains explicit sensitive information such as email addresses, website URLs, and a subscription confirmation, all of which can lead to privacy risks and potential misuse. Additionally, the mention of ""Hot Deals by E-Mail list"" and the invitation to beta test a new system could indirectly reveal personal travel preferences and behaviors, which could pose privacy risks."
850	"We are starting to collect data for April.  The attached survey drives your 
costs from your activities to the commercial teams.  Please select your RCs, 
and fill in the driver quantity for the requested driver for the month of 
February. Please fill out the attached activity driver survey with April 
numbers for your RC by end of day Thursday, May 4th.  

If your group currently generates a standard report that captures the 
surveyed data, please send the report to me, and put me on your recipient 
list beginning next month.  This will eliminate your need to fill out this 
survey every month.  If you would like us to collect this information from 
someone within your team beginning next month, let me know.  

Please contact me or Lisa Cousino x3-6343 if you are unable to complete the 
survey within the allotted time. 


Thanks,
Shari
3-3859"	SENSITIVE	The text contains professional activities and requests related to commercial teams, which could imply access to confidential business operations. Additionally, it includes contact information for Lisa Cousino, which is personal and should not be publicly disclosed.
851	">> You signed up to receive special offers at Colonize.com <<

Hey Patrice,

You are among a select group of people being offered the chance to
WIN CASH and prizes just for taking fun surveys!

          Click right now and you could win $1,000.00:

http://www.colonize.com/c.php3?i=npdx7,02052,x2&e=28471412

Everyone has an opinion......Share it with NPD and they'll give you
chances to win cash.

http://www.colonize.com/c.php3?i=npdx7,02052,x2&e=28471412

This is a limited time offer being made to a select group of people.
Check it out now for your chance to win the cash.

~~~~~~~~~~~
Questions? Comments? Email us at: info@colonize.com
You are currently subscribed as: pmims@enron.com
To unsubscribe visit:
http://www.colonize.com/u.php3?e=pmims@enron.com"	SENSITIVE	This message contains explicit sensitive information, including an email address, a website URL, and a personalized subscription status, all of which can lead to privacy risks and potential misuse.
852	"Hello Darron,

Just wanted to let you know that the following items from your
order #11695228 have shipped and are on the way to your door:

item sku 40157515    qty :1  STAR WARS 1-PH(S)DVD
*This item shipped on 10/12/2001

If you have any questions regarding this or any other order, please
feel free to contact us at any time by visiting customer support at
https://www.us.buy.com/corp/support.

We built buy.com with one thing in mind - enabling you and all our
customers to buy products better - that means offering you top brands,
superstore selection, low prices, and outstanding service.

Once again, thank you for your order. We look forward to earning your
business as we set out to be the ""best place to buy on the Internet.""

Sincerely,

Krista Smith
Director, Customer Support
http://www.us.buy.com

* Please use the link below for your Customer Support questions. Please
  do not reply to the buy.com email address.  For anytime Help click:

   www.us.buy.com/corp/support.

*****************************************************************

-If there are other items in your order that have not yet shipped,
 we will send you a confirmation email as soon as they do.

-Do not be concerned if items in your order arrive in separate
 packages. For quicker delivery, we ship from multiple warehouses
 throughout the country.

-You can track your order online at
 http://www.us.buy.com/corp/support/login.asp
 or get instructions about how to track directly from your mobile device at
 http://www.us.buy.com/retail/wireless/toc_feature.asp?loc=13676.


******************************************************************
Please enjoy these offers from our partners:
******************************************************************

*  DVD Essentials! Breathe some life into your DVD collection
   with must-have DVDs from MGM including hits like
   When Harry Met Sally, Rain Man, The Usual Suspects and more!

   http://www.us.buy.com/clickfrom/shipping/MGMstore_0207.asp"	SENSITIVE	The text contains explicit sensitive information such as order number, item details, and shipment dates, which can lead to privacy risks and potential misuse.
853	"Here are the Claims with Portland added.    
 
Bryan
 

-----Original Message-----
From: Tribolet, Michael 
Sent: Wednesday, September 12, 2001 7:37 AM
To: Gottfredson, Bryan
Subject: FW: Claims v. PG&E


Can you add the Portland numbers and recirculate?
 
 
-----Original Message-----
From: Mellencamp, Lisa 
Sent: Tuesday, September 11, 2001 2:50 PM
To: Tribolet, Michael
Subject: RE: Claims v. PG&E


can you do new chart and circulate with the portlans number??

-----Original Message----- 
From: Tribolet, Michael 
Sent: Thu 9/6/2001 4:13 PM 
To: Mellencamp, Lisa 
Cc: 
Subject: FW: Claims v. PG&E




fyi: 

also, do you know the Portland claim amount. 
 -----Original Message----- 
From:   Gottfredson, Bryan  
Sent:   Thursday, September 06, 2001 3:29 PM 
To:     Palmer, Mark A. (PR); Shapiro, Richard; Kean, Steven J. 
Cc:     Steffes, James D.; Tribolet, Michael; Comnes, Alan 
Subject:        Claims v. PG&E 

The following is a summary of the claims filed by Enron against PG&E.  Please note that this summary does not reflect any of the claims filed by Portland General, which would also add to Enron's ""total.""

<<Enron Claims.ppt>> 
Please direct any questions to Michael Tribolet, or myself. 

Thanks, 
Bryan 
  
x52430"	SENSITIVE	The text contains proprietary business information about claims filed by Enron against PG&E, including specific details about Portland General's claims. This information is confidential and should not be publicly disclosed.
854	"FYI - the details on the meeting.
Ed
---------------------- Forwarded by Ed McMichael/HOU/ECT on 01/25/2001 11:37 
AM ---------------------------


Tera Moss@ENRON
01/25/2001 09:13 AM
To: Bryce Baxter/HOU/ECT@ECT, Maria Garza/HOU/ECT@ECT, Katherine L 
Kelly/HOU/ECT@ECT, Rita Wynne/HOU/ECT@ECT, Dick Jenkins/HOU/ECT@ECT, John 
Valdes/HOU/ECT@ECT, Victor Lamadrid/HOU/ECT@ECT, Kam Keiser/HOU/ECT@ECT, 
Robert Superty/HOU/ECT@ECT, Steve Gillespie/Corp/Enron@ENRON, Priscilla 
Hamic/NA/Enron@Enron, William Kelly/HOU/ECT@ECT
cc: Mark Breese/HOU/ECT@ECT, Ed McMichael/HOU/ECT@ECT, Greg 
Whiting/Corp/Enron@ENRON, Scott Neal/HOU/ECT@ECT, Mary 
Comello/Corp/Enron@Enron 
Subject: Clean up of VNG December book and resolution of management process


Please mark your calendar for the following meeting:

Date: Thursday, January 25

Time: 2:30 pm 

Location: EB 3143b

Subject: Booking and mngt. of the VNG deal

Please call Tera (ext.3-5167) with questions, thanks."	SENSITIVE	"This email contains explicit sensitive information such as the meeting date, time, and location, as well as contact details for Tera. Additionally, it references the ""clean up of VNG December book and resolution of management process,"" which could be considered proprietary business information."
855	"The  emergence of web trading has important implications for deal clearing.  
Meetings are scheduled for November 16-17 to discuss
these implications and to come to a consensus on a strategic solution for 
deal clearing.  

Please plan to attend or designate someone who can represent you.

Attached please find a tentative schedule for the meetings.

Additional information will follow.

Please feel free to address any questions you might have  regarding these 
meetings to  Sarita Das ( 713 345-8232 ) or Ron Nolte ( 713 853-7569 )."	SENSITIVE	The text contains explicit sensitive information such as contact phone numbers for Sarita Das and Ron Nolte, which could be considered personal and business-sensitive details that should not be publicly disclosed. Additionally, the mention of meetings discussing deal clearing and strategic solutions could imply access to proprietary business information.
856	"Sally -

These are the steps that we have taken to insure that the positions the V@R 
engine picks up are correct:

1. Each book adm. now checks his/her own positions that are going into V@R,  
rather than just one check at  a consolidated level.
2. All regional controllers will receive a sheet at the end of the night, 
verifying that all books are officialized."	NOT SENSITIVE	
857	"Do we have an integration problem we need to deal with.

Also can we have an update of the commercialization of your group following 
your meeting.

Louise

---------------------- Forwarded by Louise Kitchen/HOU/ECT on 01/22/2001 
12:01 PM ---------------------------


Louise Kitchen
01/22/2001 11:52 AM
To: Nicki Daw/NA/Enron@ENRON
cc: Sally Beck/HOU/ECT@ECT 

Subject: Re: Business Cards  

Everyone should be using Enron Net Works LLC in Sally's group from 1.1.2001.

Thanks



Nicki Daw@ENRON
01/22/2001 10:51 AM
To: Louise Kitchen/HOU/ECT@ECT
cc:  

Subject: Business Cards

Louise,

I don't think I have seen you this year - Happy New Year!

I have been asked what company name should be put on the business cards of 
some of Sally Beck's group.  I have been telling most people to stick with 
they organisation names e.g. Enron North America or Enron South America, 
rather than Enron Americas/Enron Wholesale Services.  Do you want everybody 
to use Enron Net Works, or should the trading support groups use their 
business unit names ENA, EGM, EIM?

See you soon.

Nicki

P.S.  Mark gave me a voucher for Urban Retreat for Christmas, which I am very 
pleased with.  Sue's jealous, she got crystal!"	SENSITIVE	The email contains business-related information, including company names, business unit names, and a voucher for a specific establishment, which could be considered proprietary business information.
858	"I can be there, but I have to be home by 1:00, because the cable tv guy is 
going to show up sometime between 1-5.



	Taffy Milligan
	06/15/2000 02:31 PM
		 
		 To: Paul Radous/Corp/Enron@ENRON, Mary Tudon/HOU/ECT@ECT, Brad 
Schneider/Corp/Enron@Enron, Veronica Espinoza/Corp/Enron@ENRON, Nidia 
Mendoza/HOU/ECT@ECT, Edward Sacks/Corp/Enron@Enron, Carol St 
Clair/HOU/ECT@ECT, Sara Shackleton/HOU/ECT@ECT, Susan Flynn/HOU/ECT@ECT, 
Susan Bailey/HOU/ECT@ECT, Jason Peters/Corp/Enron@Enron, Tana 
Jones/HOU/ECT@ECT, Samantha Boyd/NA/Enron@Enron
		 cc: Suzanne Adams/HOU/ECT@ECT, Becky Tlucek/HOU/ECT@ECT, Legal Temp 
2/HOU/ECT@ECT, Erica Braden/HOU/ECT@ECT
		 Subject: Legal/Credit Meeting - June 16, 2000

Please be advised that the location of the meeting has been changed to 
EB30C1.  See you at Noon-1:30 p.m.

In Suzanne's absence today, please RSVP to me at your earliest convenience.

Best regards,

Taffy Milligan
X57373"	SENSITIVE	This email contains personal and business-sensitive details, including the names of multiple individuals, a meeting location, and a specific time, all of which could lead to privacy risks and potential misuse.
859	"-----------------------------------------------------------------------------
NATIONAL JOURNAL'S TECHNOLOGY DAILY AM EDITION
is now available at http://nationaljournal.com/pubs/techdaily/
-----------------------------------------------------------------------------

MORNING HIGHLIGHTS:

PRIVACY: Privacy legislation may stand a better chance in a
Democratic-controlled Senate.

ANTITRUST: Activists asked the Justice Department to stop the launch of the
airlines' Orbitz Web site.

ON THE HILL: The Senate confirmed President Bush's FTC and FCC chairmen and
new FCC members.

BUSINESS: President Bush and California Gov. Gray Davis will meet Tuesday
to discuss the energy crisis.


ALSO ON NATIONALJOURNAL.COM:
-- Daybook: Key Events On And Off The Hill
http://nationaljournal.com/members/calendar/

-- Ad Spotlight: Dems Hit Bush Energy Plan
http://nationaljournal.com/members/adspotlight/2001/05/0529dnc1.htm


******************************************************
GOT A JOB TO FILL? CAPITAL CAREER SOURCE CAN HELP

Capital Career Source puts your job listing in front
of thousands of top-notch job seekers -- many of them
regular readers of NationalJournal.com.

Find the right people, right now. Call us at
(202) 266-7259 for details, or go directly to
http://www.capitalcareersource.com.
******************************************************


----------------------------
To stop receiving these E-mail Alerts:

Reply to this message and include the word ""unsubscribe"" (without quotes)
in the BODY of the message.
----------------------------


National Journal's Technology Daily is published daily by National Journal
Group Inc. For more information about National Journal Group's
publications, go to http://www.nationaljournal.com."	NOT SENSITIVE	
860	"Jeff - Thanks for hosting the meeting.  PG& still needs to decide what it
really wants out of the gas accord, but I hope you gained some insight into
our thinking. Keep in mind that Enron is still viewed around here with
suspicion - something we all need to get over with.  I would not give up on
going to higher levels in the company to pursue business opportunities.  I'm
told through the grapevine that you made one attempt and got no response.
Take the energizer bunny approach.  Who knows where it may lead."	SENSITIVE	This text contains subtle (inferred) sensitive information related to business activities and internal company dynamics, including discussions about Enron, business opportunities, and attempts to reach higher levels in the company. These details could potentially reveal confidential business operations and strategies.
861	"CGoering@nyiso.com writes to the NYISO_TECH_EXCHANGE Discussion List:

The NYISO is reserving hours beginning 00:00 - 02:00, 05:00, 13:00, 15:00,
and 23:00 in the May 17, 2001 Real-Time Market as well as the following
hours per ECA20001006B to verify prices:

PJM: 00:00 - 03:00, 07:00
OH:  00:00, 03:00, 07:00
HQ:  00:00, 03:00, 07:00
NE:  00:00, 03:00, 07:00

Prices in the May 18, 2001 Day-Ahead Market are correct.

This e-mail information is a copy of the official posting which can be
found at the following address on our website:
http://mis.nyiso.com/public/htm/OperMessages/CurrentOperMessages.htm#mm"	NOT SENSITIVE	
862	"We are definately going skiing this winter.  We have not been for over two 
years.  I also want the kids to start skiing.  Send all of your sisters if 
you have them.  I'll put them in my address book and won't have to keep 
bugging you.  Take care.

DG




""Sean Mayers"" <smmayers@earthlink.net> on 08/03/2000 10:27:00 AM
To: ""Darron C Giron"" <Darron.C.Giron@enron.com>
cc:  
Subject: Re: November


Darron,

My dad's email is jcmayers@earthlink.net and which one of my sisters did you
want?

Everything is great here.  You guys really need to come here and enjoy the
scenery.  Maybe we can all go skiing or something.

Good hearing from you and take care.  I have to get to work.

Sean
----- Original Message -----
From: ""Darron C Giron"" <Darron.C.Giron@enron.com>
To: <smmayers@earthlink.net>
Sent: Thursday, August 03, 2000 7:36 AM
Subject: November


>
>
> Sean,
>
> How's CO?  I hope you are doing well.  I know I have asked you before, but
I
> seem to have accidentally deleted your dad and sister's email addresses.
I want
> to ask you dad if he will be in town when KU plays Texas later in
November.  I
> want to bring the whole family.  If you get a chance, shoot me a message
with
> his info.  My mom is vacationing in NY so I can't ask her.  Thanks.
>
> DG
>
>
>"	SENSITIVE	This email contains personal information, including email addresses and family relationships, which can lead to privacy risks and potential misuse.
863	"Nevermind this one...


---------------------- Forwarded by Stacey Neuweiler/HOU/ECT on 05/12/2000 
09:21 AM ---------------------------
From: Charlotte Hawkins on 05/12/2000 09:21 AM
To: Stacey Neuweiler/HOU/ECT@ECT, Sherlyn Schumack/HOU/ECT@ECT
cc: Robert E Lloyd/HOU/ECT@ECT, Howard B Camp/HOU/ECT@ECT, Carlos J 
Rodriguez/HOU/ECT@ECT 
Subject: Re: I/C variance for deal 72893  

Okay, this one has been resolved....   the deals for days 9 and 10 are good.  
Sitara did not feed this deal to MOPS at all therefore it didn't feed to 
POPS.  

Sherlyn is setting things up and will provide me with a tracking ID, I will 
enter volumes and re-allocate the meter.

Very confusing but finally resolved.

 CHawkins



   
	
	
	From:  Charlotte Hawkins                           05/08/2000 10:55 AM
	

To: Stacey Neuweiler/HOU/ECT@ECT
cc: Robert E Lloyd/HOU/ECT@ECT, Howard B Camp/HOU/ECT@ECT 
Subject: Re: I/C variance for deal 72893

Stacey, Sherlyn needs answers.......    I dropped the ball and sent this to 
Carlos.....    sorry.

Let me know if i can help.

Charlotte 


   
	
	
	From:  Sherlyn Schumack                           05/01/2000 10:11 AM
	

To: Charlotte Hawkins/HOU/ECT@ECT
cc:  
Subject: I/C variance for deal 72893

Charlotte,

There is an interconnect variance at meter 980071 for 2/99.   It appears the 
variance is created on 2/9/99 and 2/10/99.  There is a transport usage deal 
ticket 72893 in Sitara which shows PG&E delivers 6,965 mmbtu to HPL on 2/9/99 
and 3,683 mmbtu on 2/10/99, but HPL does not show a receipt of this volume.   
Let me know if you need the PG&E support."	SENSITIVE	The email contains proprietary business information, including deal numbers, meter numbers, and specific details about transport usage, which could be sensitive and should not be publicly disclosed.
864	"Grant,

Tuesday or Wednesday would work.

Please, call me in the morning or at home tonight (281) 367 5377.
Alternatively, we could have  breakfast.

Vince





""Masson, Grant"" <Grant.Masson@ElPaso.com> on 04/23/2001 09:44:06 AM
To: ""'vkamins@enron.com'"" <vkamins@enron.com>
cc:  
Subject: Lunch:


> Vince:
>
> Do you have time sometime this week for lunch?
>
> Regards,
> Grant.


******************************************************************
This email and any files transmitted with it from the
ElPaso Corporation are confidential and intended solely
for the use of the individual or entity to whom they are
addressed. If you have received this email in error
please notify the sender.
******************************************************************"	SENSITIVE	This email contains personal contact information, including a phone number, and is intended for private communication. Additionally, it includes a confidentiality notice, indicating that the content may contain sensitive information.
865	"Dear Mr. Taylor-Brill:

I believe that the best direct jet service between Houston and Charlotte is via US AIr.  Continental has fewer flights and uses other carriers (unfamiliar to me).

For example:

USAIR #586 departs Houston at 7:50 am and arrives in Charlotte at 11:10 am
[USAIR#1620 departs Houston at 6:30 pm and arrives in Charlotte at 9:46 pm]
USAIR #897 departs Charlotte at 5:10 pm and arrives in Houston at 6:59 pm

I am certainly open to other options.  Please advise if there is anything further that I can do.

Regards.  Sara

Sara Shackleton
Enron Wholesale Services
1400 Smith Street, EB3801a
Houston, TX  77002
Ph:  (713) 853-5620
Fax: (713) 646-3490"	SENSITIVE	This email contains personal and business-sensitive details, including the sender's full name, work address, phone number, and fax number, which should not be publicly disclosed. Additionally, it implies the sender's professional role and travel routines, which could lead to privacy risks and unintended inferences.
866	"If you are unable to view this email please cut and paste the following url into your browser: http://www.dunns.com/email/demail_holiday.html  
  
 [IMAGE] [IMAGE] [IMAGE] [IMAGE] 	


If you received this e-mail in error or would like to make changes, click here  or go to http://www.dunns.com/email/listindex.html  to make changes or remove your subscription"	NOT SENSITIVE	
867	"---------------------- Forwarded by Juan Hernandez/Corp/Enron on 05/04/2001 
06:41 AM ---------------------------


Doug Miller
05/04/2001 01:03 AM
To: Juan Hernandez/Corp/Enron@ENRON, Don Baughman/HOU/ECT@ECT
cc:  

Subject: checkout for 5/3 hourly deals

Guys,

I know this is getting to the point of nagging, but the day guys are doing a 
BAD job of getting there stuff in the P&L and Enpower.  We are having to 
spend too much time going back and researching tags and comparing enpower to 
P&L and vice versa before we can even begin to checkout.  I spent two hours 
having to go through many deals (in both books) to figure out what happened 
before we could begin checkouts.  I understand some human errors occur - 
that's why we do checkout's but much of this I feel is just laziness and guys 
not paying attention.  Can you guys address this and try to implement some 
steps to help correct this.  With the lack of bodies on the night shift, this 
is causing problems.

Thanks,
Doug"	SENSITIVE	This email contains proprietary business information about Enron's P&L and Enpower, as well as internal operational issues. It also mentions specific individuals and their work performance, which could be considered sensitive information.
868	"I have a paper clip icon that enables the attachment of documents.   If you 
don't have this icon just click on help and search for attachments.

-e




""Larry W. Bass"" <lwbthemarine@bigplanet.com> on 12/18/2000 02:56:11 PM
To: Eric.Bass@enron.com, Jason.Bass2@COMPAQ.com
cc:  
Subject: Re: Pictures


Well, I can access the pictures but how do I e-mail them?-L




----- Original Message -----
From: <Eric.Bass@enron.com>
To: <lwbthemarine@bigplanet.com>; <Jason.Bass2@COMPAQ.com>
Sent: Monday, December 18, 2000 2:45 PM
Subject: Pictures


> Can both of you forward the telluride pictures to me so I can get them
> developed?
>
> Dad - they reside in the ""my documents"" folder under the ""my pictures""
> heading.
>
>
> Thanks,
>
> Eric
>"	SENSITIVE	This email contains personal email addresses, full names, and a request to forward pictures, which can lead to privacy risks and potential misuse.
